name,model,mode,precision,recall,f1,support
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,1.1,0.75,0.375,0.5,16
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,1.2,0.0,0.0,0.0,0
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,1.3,0.25,0.2222222222222222,0.23529411764705882,9
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,1.4,0.0,0.0,0.0,3
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,1.5,0.0,0.0,0.0,7
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,2.1,0.0,0.0,0.0,2
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,2.2,0.0,0.0,0.0,6
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,2.3,0.0,0.0,0.0,5
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,2.4,0.0,0.0,0.0,2
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,2.5,0.0,0.0,0.0,0
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,2.6,0.6,0.21428571428571427,0.3157894736842105,14
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,3.1,0.0,0.0,0.0,6
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,3.2,0.125,0.25,0.16666666666666666,4
claude-sonnet-4-6_zero_shot,claude-sonnet-4-6,3.3,0.4,0.5454545454545454,0.46153846153846156,11
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.1,0.75,0.375,0.5,16
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.2,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.3,0.16666666666666666,0.1111111111111111,0.13333333333333333,9
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.4,0.0,0.0,0.0,3
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,1.5,0.0,0.0,0.0,7
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.1,0.0,0.0,0.0,2
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.2,0.0,0.0,0.0,6
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.3,0.0,0.0,0.0,5
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.4,0.0,0.0,0.0,2
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.5,0.0,0.0,0.0,0
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,2.6,0.6666666666666666,0.2857142857142857,0.4,14
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,3.1,0.0,0.0,0.0,6
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,3.2,0.14285714285714285,0.25,0.18181818181818182,4
claude-sonnet-4-6_few_shot,claude-sonnet-4-6,3.3,0.5454545454545454,0.5454545454545454,0.5454545454545454,11
gemini-2.5-pro_zero_shot,gemini-2.5-pro,1.1,0.5,0.25,0.3333333333333333,16
gemini-2.5-pro_zero_shot,gemini-2.5-pro,1.2,0.0,0.0,0.0,0
gemini-2.5-pro_zero_shot,gemini-2.5-pro,1.3,0.35714285714285715,0.5555555555555556,0.43478260869565216,9
gemini-2.5-pro_zero_shot,gemini-2.5-pro,1.4,0.0,0.0,0.0,3
gemini-2.5-pro_zero_shot,gemini-2.5-pro,1.5,0.0,0.0,0.0,7
gemini-2.5-pro_zero_shot,gemini-2.5-pro,2.1,0.0,0.0,0.0,2
gemini-2.5-pro_zero_shot,gemini-2.5-pro,2.2,0.0,0.0,0.0,6
gemini-2.5-pro_zero_shot,gemini-2.5-pro,2.3,0.0,0.0,0.0,5
gemini-2.5-pro_zero_shot,gemini-2.5-pro,2.4,0.0,0.0,0.0,2
gemini-2.5-pro_zero_shot,gemini-2.5-pro,2.5,0.0,0.0,0.0,0
gemini-2.5-pro_zero_shot,gemini-2.5-pro,2.6,0.3333333333333333,0.21428571428571427,0.2608695652173913,14
